18 recordings, train split, ASR = large-v3-turbo, update every 1 s
{'kappa': 0.8, 'max_speed': 1.5, 'p_back': 0.02, 'p_teleport': 1e-05}  line 0.740  ±1 0.947  dua 0.980  wrong 0.004  lag 1.6
{'kappa': 0.8, 'max_speed': 1.5, 'p_back': 0.02, 'p_teleport': 0.0001}  line 0.740  ±1 0.948  dua 0.981  wrong 0.004  lag 1.6
{'kappa': 0.8, 'max_speed': 1.5, 'p_back': 0.02, 'p_teleport': 0.001}  line 0.741  ±1 0.947  dua 0.981  wrong 0.004  lag 1.6
{'kappa': 0.8, 'max_speed': 1.5, 'p_back': 0.05, 'p_teleport': 1e-05}  line 0.740  ±1 0.947  dua 0.980  wrong 0.004  lag 1.6
{'kappa': 0.8, 'max_speed': 1.5, 'p_back': 0.05, 'p_teleport': 0.0001}  line 0.740  ±1 0.948  dua 0.981  wrong 0.004  lag 1.6
{'kappa': 0.8, 'max_speed': 1.5, 'p_back': 0.05, 'p_teleport': 0.001}  line 0.741  ±1 0.947  dua 0.981  wrong 0.004  lag 1.6
{'kappa': 0.8, 'max_speed': 2.5, 'p_back': 0.005, 'p_teleport': 1e-05}  line 0.746  ±1 0.949  dua 0.980  wrong 0.004  lag 1.6
{'kappa': 0.8, 'max_speed': 2.5, 'p_back': 0.005, 'p_teleport': 0.0001}  line 0.745  ±1 0.949  dua 0.980  wrong 0.003  lag 1.6
{'kappa': 0.8, 'max_speed': 2.5, 'p_back': 0.005, 'p_teleport': 0.001}  line 0.745  ±1 0.949  dua 0.980  wrong 0.003  lag 1.6
{'kappa': 0.8, 'max_speed': 2.5, 'p_back': 0.02, 'p_teleport': 1e-05}  line 0.746  ±1 0.949  dua 0.980  wrong 0.004  lag 1.6
{'kappa': 0.8, 'max_speed': 2.5, 'p_back': 0.02, 'p_teleport': 0.0001}  line 0.746  ±1 0.949  dua 0.980  wrong 0.004  lag 1.6
{'kappa': 0.8, 'max_speed': 2.5, 'p_back': 0.02, 'p_teleport': 0.001}  line 0.746  ±1 0.949  dua 0.980  wrong 0.003  lag 1.6
{'kappa': 0.8, 'max_speed': 2.5, 'p_back': 0.05, 'p_teleport': 1e-05}  line 0.746  ±1 0.950  dua 0.980  wrong 0.004  lag 1.6
{'kappa': 0.8, 'max_speed': 2.5, 'p_back': 0.05, 'p_teleport': 0.0001}  line 0.746  ±1 0.950  dua 0.980  wrong 0.004  lag 1.6
{'kappa': 0.8, 'max_speed': 2.5, 'p_back': 0.05, 'p_teleport': 0.001}  line 0.746  ±1 0.949  dua 0.980  wrong 0.003  lag 1.6
{'kappa': 0.8, 'max_speed': 4.0, 'p_back': 0.005, 'p_teleport': 1e-05}  line 0.744  ±1 0.948  dua 0.980  wrong 0.005  lag 1.6
{'kappa': 0.8, 'max_speed': 4.0, 'p_back': 0.005, 'p_teleport': 0.0001}  line 0.744  ±1 0.947  dua 0.980  wrong 0.005  lag 1.6
{'kappa': 0.8, 'max_speed': 4.0, 'p_back': 0.005, 'p_teleport': 0.001}  line 0.744  ±1 0.947  dua 0.980  wrong 0.004  lag 1.6
{'kappa': 0.8, 'max_speed': 4.0, 'p_back': 0.02, 'p_teleport': 1e-05}  line 0.745  ±1 0.949  dua 0.980  wrong 0.004  lag 1.6
{'kappa': 0.8, 'max_speed': 4.0, 'p_back': 0.02, 'p_teleport': 0.0001}  line 0.745  ±1 0.949  dua 0.981  wrong 0.004  lag 1.6
{'kappa': 0.8, 'max_speed': 4.0, 'p_back': 0.02, 'p_teleport': 0.001}  line 0.745  ±1 0.948  dua 0.980  wrong 0.004  lag 1.6
